supplier,customer,cost
S1,C1,9
S1,C2,12
S1,C3,11
S1,C4,7
S1,C5,15
S1,C6,6
S1,C7,10
S1,C8,14
S1,C9,13
S1,C10,8
S2,C1,8
S2,C2,14
S2,C3,9
S2,C4,11
S2,C5,12
S2,C6,7
S2,C7,10
S2,C8,15
S2,C9,12
S2,C10,11
S3,C1,13
S3,C2,10
S3,C3,8
S3,C4,15
S3,C5,7
S3,C6,11
S3,C7,12
S3,C8,8
S3,C9,13
S3,C10,14
S4,C1,7
S4,C2,9
S4,C3,13
S4,C4,10
S4,C5,8
S4,C6,12
S4,C7,9
S4,C8,11
S4,C9,15
S4,C10,7
S5,C1,11
S5,C2,6
S5,C3,10
S5,C4,13
S5,C5,14
S5,C6,9
S5,C7,12
S5,C8,8
S5,C9,7
S5,C10,15
S6,C1,14
S6,C2,11
S6,C3,8
S6,C4,9
S6,C5,10
S6,C6,13
S6,C7,6
S6,C8,15
S6,C9,9
S6,C10,11
S7,C1,12
S7,C2,7
S7,C3,11
S7,C4,13
S7,C5,9
S7,C6,8
S7,C7,14
S7,C8,10
S7,C9,12
S7,C10,15
S8,C1,8
S8,C2,13
S8,C3,15
S8,C4,7
S8,C5,11
S8,C6,9
S8,C7,10
S8,C8,12
S8,C9,13
S8,C10,6
S9,C1,10
S9,C2,12
S9,C3,7
S9,C4,14
S9,C5,8
S9,C6,15
S9,C7,11
S9,C8,13
S9,C9,6
S9,C10,9
S10,C1,6
S10,C2,8
S10,C3,13
S10,C4,12
S10,C5,9
S10,C6,14
S10,C7,7
S10,C8,15
S10,C9,10
S10,C10,11
